Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
COREAPBLSRAM_0/Primitives,4,16,0,0,0,0,0,0,0,0,0
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/Primitives,0,0,36,36,0,1,0,0,0,0,0
CoreAPB3_0/Primitives,2,0,0,0,0,0,0,0,0,0,0
CoreAPB3_0/u_mux_p_to_b3/Primitives,31,0,0,0,0,0,0,0,0,0,0
DMAAPB_MSS_0/Primitives,0,0,0,0,0,0,0,0,1,0,0
FCCC_0/Primitives,0,0,0,0,0,0,1,1,0,0,0
OSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,1
Primitives/Primitives,1,0,0,0,1,0,0,1,0,0,0
